places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Kanchenjunga National Park,sikkim,Adventure,3.0,"Named after the third highest mountain peak in the world, and nestled in the lap of the mighty Himalayas in North of Sikkim is the Kanchenjunga National Park. Included recently in UNESCO's world heritage sites, it is a rare high altitude national park and the first ""Mixed-Heritage"" site of the count...",July to February,3797.06
Goecha La,sikkim,Adventure,3.8,"Goecha La is a high mountain pass located at a height of 4,940 m and acts as the base camp for the southeast face of Kanchenjunga. This place can only be accessed by trekking from Yuksom and it roughly takes 7-8 days for a person to reach Goecha La and come back to Yuksom. The area is accessible onl...",June to March,3797.06
Ravangla,sikkim,Adventure,3.9,"Ravangla, a petite town located in South Sikkim, with a phenomenal view of high-forested hills, rolling valleys marked with village huts is an ideal destination for holidaying. Ravangla is situated at the base of Menam hill, providing shelter to a small hermitage. It lies on the edge separating the ...",October to June,3797.06
Gurudongmar Lake,sikkim,Adventure,2.7,"Located at the height of 17,100 feet above the sea level, Gurudongmar Lake, located in Sikkim, is one of the fifteen highest lakes in the world. It is also the second highest lake in Sikkim, after the Cholamu Lake located at the height of 18,000 feet. The splendid and scenic beauty of the place is b...",September to May,3797.06
Barsey Rhododendron Trek,sikkim,Adventure,4.0,"The hike from Hilley to Barsey Wildlife Sanctuary is a short trek of about 4 km. The route is easy and can be covered in 1-2 hours. Most tourists start early, reach Barsey, explore the forests and return on the same day. The trail inclines gradually through the colourful Rhododendron forest. In the ...",Throughout the year,3797.06
South Sikkim,sikkim,Adventure,4.2,"Surrounded by beautiful forests and majestic hills, South Sikkim is the perfect vacation spot for someone looking for a retreat in the midst of nature in its most natural form.The town of Namchi is the headquarters of South Sikkim and it is situated at an altitude of 5500 feet at a distance of aroun...",July to March,2563.5
Pemayangtse Monastery,sikkim,Religious,5.0,"Pemayangtse Monastery is a highly revered Buddhist Monastery situated at Pemayangtse, in the Pelling region of Sikkim. One of the oldest monasteries of the state, it stands tall on a hilltop overlooking the historical Rabdentse ruins, the former capital of the Kingdom of Sikkim. Pemayangtse translat...",June to March,3229.855
Namchi,sikkim,Historical,3.4,"Namchi, the district headquarters of the South District, is a prosperous market town which has quickly developed into a tourist hotspot. Namchi literally means ""Top of the Sky"" and the main tourist attractions of Namchi are the two gigantic statues. These two gigantic statues are facing off from opp...",June to March,3118.42
Thangu Valley,sikkim,Adventure,4.6,"Thangu, situated at an altitude of around 3900 m, is a beautiful village which is about two hours' drive from Lachen. It is a comfortable village where the tourists usually choose to relax before they proceed to trek to Gurugongmar Lake, Muguthang or Cho Lhamu Lake. In Thangu Valley, one can catch a...",October to February,3797.06
Do Drul Chorten,sikkim,Religious,3.0,"Do Drul Chorten is one of the most important stupas in Sikkim, nestled in the stunning valleys of Gangtok. Built in 1945 under the supervision of late Truslshi and Rimpoche, the Stupa has around 108 Mani Lhakor or prayer wheels. These wheels are engraved with important mantras which can be chan...",June to September,3229.855
Chopta Valley,sikkim,Adventure,2.9,"Chopta is a very famous tourist hotspot in North Sikkim known for its varying hues. Famous as the ""Valley of flowers"", the Chopta Valley is popular for its riot of colours during summer months. This valley is unexplored and untouched, as a very few tourists travel to this destination despite its pop...",Throughout the year,3797.06
North Sikkim,sikkim,Adventure,5.0,"Nestled in the lap of the Eastern Himalayas, North Sikkim stands as a pristine and enchanting region, known for its rugged landscapes, vibrant meadows, and serene lakes. This largely uninhabited area, sharing its borders with China and Nepal, offers a mystical allure, drawing travelers seeking untam...",November to March,2881.74
West Sikkim,sikkim,Adventure,5.0,"Nestled at the foothills of the awe-inspiring Mount Kanchenjunga, West Sikkim beckons travelers with a blend of breathtaking landscapes and profound spiritual heritage. This region, sharing its borders with Nepal, is a haven for those seeking a rendezvous with nature and spirituality alike. As the S...",Throughout the year,3062.29
Cholamu Lake,sikkim,Adventure,5.0,"14th highest lake in the world and the highest lake in India, the Cholamu Lake in North Sikkim is situated at an altitude of 18000 feet from the sea level. While coming down the slope around 300 feet from Donkiala pass ( 18300 feet ), you can get the first sight of this moderately sized, almost froz...",October to March,3797.06
Aritar,sikkim,Adventure,3.0,"Known for its pristine beauty, temples and monasteries, Aritar is an important town in East. The entire region is surrounded by lush green forests and beautiful streams and is a delight for anyone who wants to spend time in a lesser known area.",October to March,2331.02
Geyzing,sikkim,Adventure,3.7,"The capital city of the West Sikkim District, Geyzing, also known as Gyalshing is located at an altitude of 6,500 feet above the sea level with lofty and majestic mountains of the Himalayan range surrounding the city. The river Rangeet surges in the western part of the city. Keeping aside the scenic...",July to March,3797.06
Yangtey,sikkim,Adventure,5.0,"At an altitude of 6000 ft, Yangtey is a small village and an instance of paradise by monsoons, lying very close to the town of Pelling in Sikkim, famous for the amazing views of Mt. Kanchenjungha that it offers. The sceneries here are marked by magnificent peaks of the Eastern Himalayas, under an oc...",October to March,3797.06
Biksthang,sikkim,Adventure,5.0,"Biksthang, also famous as Mangalbaray and Chuchen, is a small farmhouse in the Pelling district of Sikkim. It is popular for having a beautiful environment, including the picturesque view of the Himalayas. Being situated at a great height, Biksthang Heritage Farmhouse provides an amazing glimpse of ...",July to March,3797.06
Borong,sikkim,Adventure,4.6,"Borong is a small beautiful village near Ravangla in South Sikkim which has recently gained fame due to increasing popularity of village tourism and eco-tourism activities. With Himalayan Mountains sited at the backdrop, Borong is an ideal place for those looking for some peace and tranquility.",November to February,3797.06
Tendong Hill,sikkim,Adventure,2.0,"Tendong Hill is a destination that offers you a marvelous view of the valley in Sikkim. Situated at an altitude of 8530 ft above Damthang, Tendong Hill is a very famous tourist attraction in the southern part of Sikkim. Due to its serenity and tranquility, Tendong had been the residence of Buddhist ...",Throughout the year,3797.06
Mangan,sikkim,Adventure,3.6,"The town of Mangan, serving as the capital of the northern part of Sikkim, is a major tourist location and travellers mostly use this town as a base station from where they commence treks and tours to other parts of this district. Mangan is one of the most important and least populated towns in Sikk...",November to March,3797.06
Dzongri Trek,sikkim,Adventure,4.3,"Nestled at an altitude of 4,200 m, Dzongri Trek serves as one of the most popular high altitude trek destination in Sikkim that can be completed in a short time. The trek offers some enchanting sights while hiking through the fascinating trail comprising of varied terrains, from patches of land stre...",June to September,3797.06
Kasturi Trek,sikkim,Adventure,4.2,"Kasturi trek is a round trek passing Goecha la pass and offers extraordinary panaromic mountain views. The Trek starts from Yuksom and goes up to Goecha La, the highest point of this trek. From here, you can see the stunning view of Talung Glacier and Mt Kanchenjunga. The views are simply amazing an...",October to March,3797.06
Tinkitam,sikkim,Adventure,4.3,"Tinkitam Rayong is a petite village in Sikip Tehsil in South District of Sikkim State. Mount Kanchenjunga can be seen in the backdrop of this town and its natural habitat supports a rare species of orchid, Paphiopedilum Faireanum or lady's slipper. Unlike most wild orchids which grow on trees, this ...",October to June,3797.06
Barsey Rhododendron Sanctuary,sikkim,Adventure,3.9,"Perched at an altitude of 10,000 ft, Barsey is best known for the Barsey Rhododendron Sanctuary, a paradise for nature lovers. The sanctuary itself is a part of the West Sikkim and quite easy to access through road via Hilley, Dentam/Soreng from Geyzing. However, if you are planning a...",September to February,3797.06
Kanchenjunga,sikkim,Adventure,4.1,"The third highest peak in the world, the majestic Kanchenjunga, also spelt Kangchenjunga, is one of the most stunning mountains. Surrounded by Nepal, Sikkim and Tibet, Mt Kanchenjunga was first scaled in 1955 but since then has been declared sacred. Kanchenjunga' is a Tibetan name which means 'The F...",November to February,3797.06
Baba Mandir,sikkim,Religious,4.0,"Situated on the road passing between Nathu La and Jelepla Pass, at a distance of 64 km at an elevation of 4000 meters, Baba Mandir is the shrine which was built at the Samadhi of Harbhajan Singh. It is the local belief that every person visiting the Nathang Valley and crossing through this...",October to March,3229.855
Kaluk,sikkim,Adventure,4.0,"Kaluk is a picturesque village nestled in the West Sikkim district of the Indian state of Sikkim. Situated at an altitude of around 5,500 feet (1,676 meters) above sea level, Kaluk offers breathtaking views of the majestic Himalayan mountains, lush green valleys, and dense forests. The village is kn...",November to March,3797.06
Samdruptse,sikkim,Religious,4.9,"Situated just 5 kilometers away from Namchi, Samdruptse Hill is a revered site adorned with a towering statue of Guru Padmasambhava, overlooking the city from an altitude of 2134 meters. This hill, known as the 'wish-fulfilling hill,' holds significant religious and cultural importance, attracting p...",July to February,3229.855
Marina Beach Chennai,tamil-nadu,Beach,3.9,"Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of In...",June to September,3474.9
Ooty,tamil-nadu,Adventure,4.5,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.",July to September,5238.19
Mahabalipuram,tamil-nadu,Historical,4.5,"Famous for its intricately carved temples and rock-cut caves, Mamallapuram or Mahabalipuram as it is famously known, is a historically important and well-loved tourist location situated on the Coromandel Coast along the Bay of Bengal, in the state of Tamil Nadu. Once the abode of the famous dem...",October to March,5638.94
Kodaikanal,tamil-nadu,Adventure,4.3,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik...",September to May,5491.3
Kanyakumari,tamil-nadu,Beach,4.8,"Located at the southernmost tip of the Indian subcontinent, Kanyakumari is a captivating coastal town in the state of Tamil Nadu. Renowned for its breathtaking confluence of three vast water bodies – the Arabian Sea, the Bay of Bengal, and the Indian Ocean – Kanyakumari is celebrated for its stunnin...",October to March,2027.02
Coimbatore,tamil-nadu,Adventure,4.6,"Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temple...",September to May,4095.4
Thanjavur,tamil-nadu,Religious,4.6,"Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.",Throughout the year,3229.855
Rameshwaram,tamil-nadu,Religious,3.9,"Rameshwaram is located on a beautiful island in the South Indian state of Tamil Nadu. It is separated by a small Pamban channel from Sri Lanka. According to Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.",July to February,3229.855
Yercaud,tamil-nadu,Adventure,4.0,"Nestled in the Shivaroy Hills of Tamil Nadu, Yercaud is a hill station in the Eastern Ghats steeped in abundant greenery. Commonly called ‘Ooty of the Poor’, this region has a history dating back to the time of the British. Located at an altitude of 4970 feet, Yercaud is known for its vast expanses ...",July to February,4652.92
Trichy,tamil-nadu,Religious,3.8,"Nestled on the banks of the Cauvery River, Tiruchirappalli, colloquially known as Trichy, stands as a testament to the rich tapestry of Tamil Nadu's cultural heritage. With a history dating back to the 3rd century BC, this city seamlessly blends ancient traditions with modern developments. The iconi...",October to March,3229.855
Karaikudi,tamil-nadu,Historical,4.1,"Karaikudi, a Greater municipality in the Sivagangai district of Tamil Nadu, stands as the 21st largest urban agglomeration in the state, marked by its unique limestone-built palatial houses called Kaarai veedu. This distinctive architectural heritage has earned the town the local name ""Kaarai Nagar....",July to February,3118.42
Tirunelveli,tamil-nadu,Religious,4.0,"Tirunelveli, also called Tinnevelly, is a big city in the midst of numerous small towns, each with its own bounty of beautiful sights, temples, waterfalls and much more. Unlike many temple towns, this 2000-year-old ancient city also does offer many other sites to its tourists. The city is locat...",Throughout the year,2602.96
Mudumalai National Park,tamil-nadu,Adventure,4.3,"Mudumalai National Park is a part of the Mudumalai Wildlife Sanctuary, located at a distance of 150 kilometres from Coimbatore, in the Nilgiri District of Tamilnadu. It connects the Western Ghats to the Eastern Ghats and owes its popularity to the fact that it’s home to many vulnerable and endangere...",June to September,3797.06
Thiruvannamalai,tamil-nadu,Religious,3.9,"A town that offers a significant history adorned in its countless temples and ashrams, Thiruvannamalai is where Hindu Mythology takes the form of stunning architecture",July to March,2686.57
Coonoor,tamil-nadu,Adventure,3.8,"One of the three beautiful Nilgiri hill stations, Coonoor is the second largest hill station of the Western Ghats. It is situated at an altitude of 1930 meters and just 19 km from Ooty. With slopes of tea plantations, dotted with many attractions and blessed with chilly weather throughout ...",September to Apr,4102.76
Velankanni,tamil-nadu,Religious,4.5,"Quaint and calm, Velankanni is a little hamlet tucked away in the state of Tamil Nadu, on the coast of Bay of Bengal. It is a famous Roman Catholic pilgrim centre and is visited by thousands of devotees for its shrine of ‘Our Lady of Good Health’ aka Mother Mary. Inspired by the Lourdes in France, V...",June to January,2797.72
Dhanushkodi,tamil-nadu,Beach,3.6,"Dhanushkodi is a small, sparsely populated beach town on the coast of Tamil Nadu. In the 1964, Dhanushkodi was hit by one of the worst storms India has ever seen. Ever since then, Tamil Nadu has rebuilt this town to become one of the most unique and unusual beach towns of India.",September to March,3292.98
Tuticorin,tamil-nadu,Beach,3.0,"Popularly known as Thoothukudi, Tuticorin is a port city in the Thoothukudi district of Tamil Nadu. The city lies 40km east of Tirunelveli on the gulf of Mannar of the Bay of Bengal. Tuticorin is known as the pearl city due to the pearl fishing carried out in the town.",October to February,2401.25
Hogenakkal,tamil-nadu,Adventure,3.7,"Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, o...",September to May,5417.42
Yelagiri,tamil-nadu,Adventure,3.0,"A quaint little hill station located in Vellore, Yelagiri is just three hours away from Bangalore, making it the perfect spot for a quick weekend getaway. Spread a little over 30 square kilometres, and at a height of over 1100 metres above sea level, Yelagiri offers its tourists some beautiful place...",October to March,3915.54
Kumbakonam,tamil-nadu,Religious,3.8,"Sandwiched between two great rivers of southern India, Cauvery and Arsala, Kumbakonam is a gorgeous temple town in the heart of the Thanjavur district of Tamil Nadu.The town is a place for the lovers of history and those seeking to understand India's cultural roots and Hinduism.",November to February,2811.5
Chettinad,tamil-nadu,Historical,4.6,"Located in the Sivaganga district of Tamil Nadu, Chettinad Showcases the rich heritage, striking art and grand architecture of the state. Apart from being known as a temple town, the Chettinad Cuisine is the most renowned in the repertoire of Tamil Nadu. The word ""Chetti"" is a Sanskrit term meaning ...",December to February,2893.16
Chidambram,tamil-nadu,Religious,4.0,"A beautiful temple town in the Cuddalore District of Tamil Nadu, Chidamabaram is famous for housing the marvellous Lord Nataraja Temple and the famed chariot festival. Situated 250 kms away from the city of Chennai, Chidambaram has been a place of architectural glory and religious importance since a...",October to May,5452.37
Nagapattinam,tamil-nadu,Beach,4.0,"Nagapattinam is a town on the coastline of the Bay of Bengal with a major historical significance which is also a renowned pilgrim centre with Divya Desam of Velankanni, many temples and mosques spread all over. Nagapattinam has its the name derived from Nagur, the land of serpent gods and is credit...",October - March,2692.84
Vedanthangal,tamil-nadu,Adventure,4.0,"Lying close to the important district of Mahabalipuram, is Vedanthangal, best known for its bird sanctuary. The compact water tank of 30 hectares that the sanctuary is built around is home to at least 30,000 birds every year during migratory season.",June to September,7456.57
Tharangambadi,tamil-nadu,Religious,5.0,"Forgotten to be touched by time, and still known for its tranquillity, is Tharangambadi, otherwise known as Tranquebar- The land of the singing waves. Tranquebar or Tharangambadi is a tiny beach town in Nagapattinam district that dates back to the 14th century. Placed at a dreamy patch at the conflu...",October to March,3229.855
Kutralam,tamil-nadu,Adventure,3.4,"Courtallam, also known as Kutralam, is a perfect getaway from Tenkasi and Tirunelveli. A small town bordering Kollam District, Courtallam is famous for its waterfalls on the Western Ghats. With captivating panoramic vistas, the township is popularly renowned as 'Spa of South'. It has nine waterfalls...",November to March,3797.06
Salem,tamil-nadu,Adventure,3.8,"Salem may be the fifth largest city in Tamil Nadu in terms of area but is largest when it comes to breathtaking natural beauty and tranquil holy shrines. There are several famous Hindu temples – Kottai Mariamman Temple, Sugavaneshwarar Temple,  International Society for Krishna Consciousness (I...",October to March,14063.28
Bellikkal,tamil-nadu,Adventure,3.7,"Bellikkal is one of those places where you can completely relax, without having to worry about a 'to-do' list for your vacations and yet experience mountains that will steal your breath away. Instead of having a hundred places to offer, it will take you by its beauty, calmness and serenity.",October to February,3797.06
Vellore,tamil-nadu,Historical,4.5,"An ancient city in the northeastern part of Tamil Nadu, Vellore is located on the banks of river Palar Vellore. Nicknamed ‘The Fort City’ due to the marvellous Vellore Fort which sits at the heart of Vellore city, it is an ideal place to glimpse Tamil Nadu's rich cultural heritage through ...",October to February,2395.66
Theni,tamil-nadu,Adventure,3.5,"Dotted by luscious patches of greenery and beautiful waterfalls, Theni is a little hamlet on the Western Ghats. The topography of Theni mainly consists of hills and ranges. It has plenty of rivers and dams and is an abode to 27 forests hence filled with unparalleled greenery.",October to March,3199.77
Pollachi,tamil-nadu,Adventure,4.3,"Located down south, in Coimbatore, Tamil Nadu, the town of Pollachi is a popular filming spot due to its lavish greenery and blissful sceneries. Primarily an agricultural region, Pollachi adorns vast spreads of coconut, jaggery and vegetable fields. The famous Topslip Tiger reserve and Annamalai wil...",July to September,3487.68
Yanam,tamil-nadu,Beach,4.3,"The city of Yanam is situated in the Yanam district of Puducherry, India. The small city which covers an area of 30 square kilometers is in the confluence where Godhavari meets Koringa to the south of Kakinada district in Andhra Pradesh. The city has a widely distinct culture with a mixture of Frenc...",November-March,4327.13
Kolli Hills,tamil-nadu,Adventure,4.3,"With an ominous name which means ‘Mountain of Death’, Kolli Hills or Kolli Malai are a mountain range located in the Namakkal district of Tamil Nadu. It is relatively untouched by commercial tourism and therefore has retained most of its natural magnificence. The mountains are famous for not on...",July to February,5058.38
Palani,tamil-nadu,Religious,4.5,"Right between the 200km distance from Coimbatore and Madurai lies the hilly town of Palani. The town has two hills, Sivagiri and Sakthigiri, that are the prominent visual in this scenic, hilly landscape. There are many lakes in Palani that eventually drain into the Shanmuga River at the foot of thes...",August-November,3060.39
Tenkasi,tamil-nadu,Adventure,4.0,"Tenkasi is the second largest town of the Tirunelveli District, Tamil Nadu on the Madurai - Kollam highway. Amidst the Western Ghats, River Chittar flows through this picturesque destination favoured amongst tourists. While this town is known for waterfalls and temples, it has been made famous for i...",January to February,2441.69
Dindigul,tamil-nadu,Historical,4.0,"Dindigul is a historical city and administrative centre for Dindigul District, Tamil Nadu. Situated between the Palani hills and Sirumalai hills' foothills, this city is not particularly known for its terrain. Its history & culture has found reverence, having been home to an ancient settlement.&...",July-November,3240.5
Mayiladuthurai,tamil-nadu,Religious,4.1,"Located about 57.3 km from Nagapattinam, Mayiladuthurai is a temple town that's famous for it's Shiva temple known as Mayura Natha Swamy temple. Ruled dominantly by the medieval Chola dynasty, the history of Mayiladuthurai dates back many decades. The city is located near the river Cauvery with coco...",August to February,2373.96
Thiruvarur,tamil-nadu,Religious,4.1,"Thiruvavur, also written as Tiruvarur, is a municipality town nestled in Tamil Nadu, India. Famed for its antiquity, the town has been ruled by multiple groups at varied times including Medieval Cholas, Later Cholas, Vijayanagar Empire, Later Pandyas, Marathas, and the British. A charming templ...","June-July, mid October-mid November",4667.59
Agartala,tripura,Historical,3.8,"Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.",November to February,4534.0
Kailashahar,tripura,Religious,4.1,"A well liked tourist town near Agartala, Kailashahar was once the capital of Tripuran kingdom and evidence of its royal history can be still seen here.",November to February,3229.855
Unakoti,tripura,Historical,4.0,"A prime tourist spot in Tripura, Unakoti is an ancient pilgrimage centre, attracting tourists and devotees from far and wide.",October to March,3118.42
Bison (Rajbari) National Park,tripura,Adventure,4.3,"Situated in the Trishna Wildlife Sanctuary, the Rajbari National Park is one of India’s well-known National Parks. It is located at Tripura, India. The park is spread over a whopping 31.63 square kilometres. Visiting this park would prove to be a visual treat to its visitors.",October to March,3797.06
Rudrasagar Lake,tripura,Adventure,4.3,"Located in the Melaghar block in Sipahijala district of Tripura, Rudrasagar is a picturesque lake that has lately been recognised as one of the wetlands of national importance for the conservation of resources and their sustainable use, by the Government of India’s Ministry of Environment and Forest...",October to March,3797.06
Ambassa,tripura,Adventure,4.3,"Located in the youngest district in the state of Tripura in Dhalai, Ambassa is a quiet little town mainly popular for its several temples and pleasant surroundings. Initially a hilly area, which was covered in dense woods, the forests were cleared to create the district only recently in 1995. Boasti...",October to March,3797.06
Neermahal,tripura,Historical,3.7,"'The Lake Palace of Tripura' or the Neermahal is the largest palace of its kind in the entire Indian Subcontinent. This architectural beauty rightly derives its name from its location, i.e. the middle of Rudrasagar Lake. It is one of the two water palaces that our country has. The former royal palac...",October to March,3118.42
Hyderabad,telangana,Historical,3.7,"A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined ...",Throughout the year,5970.67
Papikondalu,telangana,Adventure,4.3,"Papikondalu mountain range runs along the River Godavari (Western Godavari) and is located in Rajahmundry, Andhra Pradesh. Papikondalu is a sheer fest to the eyes in terms of its scenic beauty. As the hills become closer and closer to the visitor, the width of the mighty Godavari becomes narrower. I...",July to March,3797.06
Nagarjunsagar,telangana,Historical,3.4,"Nagarjunasagar is a site of spectacular man-made marvel flanked by equally enchanting panoramic vistas of lush green surrounding. Lying in the Nalgonda District of Andhra Pradesh, the most popular landmark of the town is world's tallest masonry dam Nagarjunasagar dam built over Krishna River.",Throughout the year,3118.42
Warangal,telangana,Historical,4.3,Warangal takes you back to the era of kings and queens with its beautiful historical sites and an impressive natural beauty with Parkhal Lake being worth checking out.,October to Apr,1665.71
Bhadrachalam,telangana,Religious,3.0,"Bhadrachalam can be a refreshing place to visit with a share of instances from the Ramayana, a glorious palace, a vibrant river and mystical terrain and surroundings. One of the major attractions of Bhadrachalam is the Sita Ramachandraswamy temple. One can also visit the Abhaya Anjaneya temple. The ...",Throughout the year,5970.67
Adilabad,telangana,Adventure,5.0,"Adilabad is a small town in the state of Telangana that is famous for the beautiful Kunatala waterfalls located amidst lush forests. Originally known as Edulapuram, this place is for nature lovers and history buffs. Adilabad is currently Telangana's second-largest district and the town wit...",Mid March to mid November,5909.73
Nalgonda,telangana,Historical,3.2,"Nalgonda is a city in Telangana, with deep-rooted rich history and equally intriguing cultural heritage. With its roots going back to Paleolithic Age proved by enough evidence excavated from Yeleswaram, Nalgonda also displays the hints of Neolithic culture with the further unearthing of sling stones...",Throughout the year,5752.63
Nizamabad,telangana,Historical,3.5,"Nizamabad is a district located in the North-Western region of Telangana. It is a major urban suburb which is the third-largest city in the state of Telangana. Previously part of Andhra Pradesh, Nizamabad was declared the district headquarters that's governed by the municipal corporation after the r...",September - November; March - May,3118.42
Khammam,telangana,Historical,3.0,"Khammam city, erstwhile known as Kammamet, is the fourth largest city in the Indian state of Telangana. It is located in the state of Telangana, approximately 200 km from the capital Hyderabad. A historically significant city, Khammam hosted many movements during India's freedom struggle. The Khamma...",Throughout the year,5182.94
Secunderabad,telangana,Historical,4.1,"Located presently in the Indian state of Telangana, Secunderabad has been called the ""Twin city of Hyderabad"". The city, located on the northern part of the Deccan Plateau, was established in 1806 by the English as a cantonment after they defeated the Asaf Jahi dynasty. While Hyderabad has still ret...",October to June,4455.86
Karimnagar,telangana,Historical,4.2,"Karimnagar is a flourishing city in the Indian state of Telangana, located at a distance of 164 km from the state’s capital, Hyderabad. It boasts of noteworthy architecture and vibrant history. The city has a remarkable influence of the Telugu as well as Persian cultures. Be it the picturesque Lower...",April to October,5186.12
Chilkur Balaji Temple,telangana,Religious,3.4,"Chilkur Balaji Temple is situated in the picturesque village of Chilkur, about 30 kilometres away from Hyderabad. It is also called the VISA Temple, and sits prettily on the banks of the Osman Sagar Lake, near the Vikarabad Road. It is believed that paying your obeisance to the presiding deity, Lord...",May to October,3229.855
Nelakondapalli,telangana,Historical,4.4,"If you’re fond of cultural, religious, or historical exploration, and if you happen to have a marked fascination with architecture, then the grand temples of this place are bound to enthrall you. Not only does this site of wonder in the Deccan have recently dug up ancient Buddhist stupas but it also...",May to October,3118.42
Kinnerasani Wildlife Sanctuary,telangana,Adventure,3.6,"Sprawling over a vast area of almost 635 sq. kms, Kinnersani Wildlife Sanctuary is situated in the Khammam district of Telangana. Nestled amidst the Dandakaranya Forest, the sanctuary is flanked by river Godavari on one side. Besides the variety of endangered flora, it is also home to umpteen s...",May - July,3797.06
Laknavaram Lake,telangana,Adventure,2.5,"Warangal is prominent for the several remarkable lakes it has incorporated in its topography, it was also the former capital of Kakatiya dynasty. Laknavaram Cheruvu or Laknavaram Lake is a man-made wonder tucked away from civilisation in the Govindaraopet just 80 kilometres from Waran...",April to October,3797.06
Kanakai Waterfalls,telangana,Adventure,4.3,"Kanakai Waterfalls located in Girnur village, Telangana is an impassable 30 feet cascade of water stream descending from a cliff into a large pool at the bottom of the falls.",October to June,3797.06
Bogatha Falls,telangana,Adventure,3.3,"Also called the “Niagara of Telangana”, Bogatha Waterfalls is an eye pleasing and the second largest waterfall located in the state of Telangana. This is an offbeat place which proffers mesmerizing and picturesque views of the colourful and rich landscape that circumscribes it. The variegated hills ...",April to June,3797.06
Gayatri Waterfalls,telangana,Adventure,4.8,"Gayatri Falls is a beautiful cascading waterfall over River Kadem in the Adilabad district of Telangana. Colloquially known as Gadidha Gundam or Mukti Gundam, the waterfalls are secretly tucked in between the deep woods of the Tarnam Khurd Village.",May to September,3797.06
Medaram,telangana,Religious,3.9,"Located in the district of Warangal in Telangana, Medaram is a tiny village. With a scanty population of approximately 3000 people, the most noticeable thing about the dainty village is it's rich and vibrant aesthetics. Medaram is popular not only in India, but is a name known in the world due ...",October to February,3229.855
Mallela Theertham,telangana,Adventure,2.5,"Nestled in the state of Telangana, Mallela Theertham is a hidden gem untouched by industrialization and bountiful in scenic beauty. Falling from a height of about 150 feet, this waterfall is quite a sight to see. The serene and pristine water of the fall will rejuvenate your body and soul.",September to March,3797.06
Mrugavani National Park,telangana,Adventure,1.0,"Located in the slightly silent and remote region of Chilkur in Hyderabad in the state of Telangana, Mrugavani National Park is the most popular weekend getaway for the locals and a common favourite destination of the tourists.",Throughout the year,3797.06
KBR National Park,telangana,Adventure,4.5,"Located in the Jubilee Hills area of Hyderabad, KBR National Park, or Kasu Brahmananda Reddy Park, also known as Chiran Fort Palace is a world-famous national park. Boasting of picturesque beauty and a wide variety of flora, fauna and avifauna.",Throughout the year,3797.06
Vemulawada,telangana,Religious,5.0,"The southern region of India is host to numerous remarkable temples famous for their intricate Dravidian architecture, life sized shrines and rich history, these temples are visited by over a million devotees all year round from all parts of the world. Vemulawada’s most popular tourist attraction, t...",October to March,3229.855
Mahbubnagar,telangana,Historical,4.4,"Also known as Palamuru or Rukmammapeta, Mahabubnagar is a city that boasts of immense historical significance and is situated on the western border of Telangana. It is the perfect destination for a day trip or weekend getaway from Hyderabad especially for those interested in history since it houses ...",April - September,3118.42
Medak Cathedral,telangana,Religious,4.1,"Built in the Gothic Revival style, Medak Cathedral is one of the most gorgeous and striking churches in India. It is believed that the mosaic tiles of six different colours used in the construction of the church were imported from Britain.",April - June,3229.855
Medak Fort,telangana,Historical,4.1,"Medak Fort is situated in Telangana, 96 kms from Hyderabad and stands strong as an architectural masterpiece of the bygone era. Currently, the fort is mostly in ruins but it is still an important tourist attraction of the city.",April - June; September- November,3118.42
Rachakonda Fort,telangana,Historical,4.1,"Rachakonda Fort is situated in the Indian state of Telangana, 56 kms from Hyderabad. Constructed around 1360 AD, the fort is a masterpiece of the Kakatiya dynasty. It also offers a beautiful 360 degree view of the surroundings.",May - August,3118.42
